"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2","2","22u","Atverter_vE:CAP_BX_10x16_RUB",""
"2","CBoot1, CBoot2","2","4uF","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"3","CDTR1, CSup1","2","1uF","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"4","COsc1, COsc2","2","22pF","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"5","DBoot1, DBoot2","2","BAT46","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"6","Decap1, Decap2","2","4.7uF","Atverter_vE:CAP_FG28_TDK",""
"7","GateDriver1, GateDriver2","2","IR2302","Package_DIP:DIP-8_W7.62mm_LongPads",""
"8","HeaderAC1, HeaderDC1, TestGND1, TestGND3","4","Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"9","HeaderFTDI1","1","Conn_01x06_Male","Atverter_vE:FTDI_USB_TTL_Header",""
"10","ISenAC1, ISenDC1","2","TMCS1108","Atverter_vE:SOIC-8_3.9x4.9mm_P1.27mm",""
"11","JVCC1","1","Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical",""
"12","L1, L2","2","220u","Atverter_vE:AIRD-02_ABR",""
"13","LED1, LED2","2","LED","Atverter_vE:LED_3pin_P2.54mm",""
"14","MCU1","1","ATmega328P-PU","Package_DIP:DIP-28_W7.62mm",""
"15","MosfetS1, MosfetS2, MosfetS3, MosfetS4","4","IRF540NPBF","Package_TO_SOT_THT:TO-220-3_Vertical",""
"16","PiConnector1","1","Raspberry_Pi_2_3","Atverter_vE:Raspberry_Pi_Zero_and_Four",""
"17","ProComp1","1","LMV393","Package_DIP:DIP-8_W7.62mm_LongPads",""
"18","ProNOR1","1","74HC02","Package_DIP:DIP-14_W7.62mm_LongPads",""
"19","RCompPH1, RVSenTopDC1","2","120kΩ","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"20","RDTR1, RVSenBotDC1","2","10kΩ","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"21","ResistorArray1","1","R_Array","Resistor_THT:R_Array_SIP8",""
"22","RGateS1, RGateS2, RGateS3, RGateS4","4","8.2Ω","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"23","RProPD1, RProPU1","2","R_Network05","Resistor_THT:R_Array_SIP6",""
"24","Supply5V1","1","Supply_5V","Atverter_vE:SupplyDC_48V-5V_TO-220-3_Vertical",""
"25","TermAC1, TermDC1","2","Screw_Terminal_01x02","Atverter_vE:Term_Block_1x2_P5mm",""
"26","TestAC+1, TestAC-1, TestProReset1, TestPWM+1, TestPWM-1, TestS1, TestS2, TestS3, TestS4, TestVCC1","10","Conn_01x01_Male","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical",""
"27","TestGND2","1","Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"28","Xtal16MHz1","1","16MHz","Crystal:Resonator-2Pin_W10.0mm_H5.0mm",""
